,Unnamed: 0,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn,Ratio Transfers
102,102,0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,1.47223034,32.0,Y,33.0,28.0,5.0,0.0,0.0,0.0,5.6
190,190,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini 5,0.0,3.0,Y,149.0,137.0,12.0,0.0,0.0,0.0,11.42
21,21,0xa30d8157911ef23c46c0eb71889efe6a648a41f7,BigONE,761.2941501,117669.0,Y,10000.0,5441.0,4559.0,0.0,2.0,2.0,1.19
137,137,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,5744.56926616,6464700.0,Y,10000.0,4236.0,5764.0,0.0,22.0,22.0,0.73
190,190,0xb302bfe9c246c6e150af70b1caaa5e3df60dac05,Gemini 5,0.0,3.0,Y,149.0,137.0,12.0,0.0,0.0,0.0,11.42
115,115,0x66f820a414680b5bcda5eeca5dea238543f42054,Bittrex 3,206099.65877678,181.0,Y,438.0,343.0,95.0,0.0,4.0,4.0,3.61
35,35,0x4d9ff50ef4da947364bb9650892b2554e7be5e2b,Binance 19,196.63174845,1086268.0,Y,136.0,136.0,0.0,0.0,0.0,0.0,1000.0
158,158,0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS.io: Warm Wallet,0.04938769,87.0,Y,158.0,80.0,78.0,0.0,0.0,0.0,1.03
312,312,0x209c4784ab1e8183cf58ca33cb740efbf3fc18ef,Poloniex 2,0.0,1814558.0,Y,191.0,189.0,2.0,0.0,0.0,0.0,94.5
238,238,0x49517ca7b7a50f592886d4c74175f4c07d460a70,Huobi 38,0.1003465,21.0,Y,165.0,148.0,17.0,0.0,0.0,0.0,8.71
276,276,0x77ab999d1e9f152156b4411e1f3e2a42dab8cd6d,Kuna.io 2,443.95872427,56004.0,Y,10000.0,3193.0,6807.0,0.0,0.0,0.0,0.47
172,172,0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,0.46052878,1740630.0,Y,10000.0,9498.0,502.0,0.0,0.0,0.0,18.92
313,313,0xb794f5ea0ba39494ce839613fffba74279579268,Poloniex 3,0.32508084,484.0,Y,278.0,274.0,4.0,0.0,0.0,0.0,68.5
116,116,0xaa90b4aae74cee41e004bc45e45a427406c4dcae,BitUN.io 1,0.0,15571.0,Y,10000.0,9108.0,892.0,0.0,0.0,0.0,10.21
